Player,stats_Nation,stats_Pos,stats_Squad,stats_Comp,stats_Age,stats_Born,stats_MP,stats_Starts,stats_90s,stats_Gls,stats_Gls2,stats_Ast,stats_Ast2,stats_G+A,stats_G+A2,stats_G-PK,stats_G-PK2,stats_PK,stats_PKatt,stats_CrdY,stats_CrdR,stats_G+A-PK,shooting_Age,shooting_Born,shooting_90s,shooting_Gls,shooting_Sh,shooting_SoT,shooting_SoT%,shooting_Sh/90,shooting_SoT/90,shooting_G/Sh,shooting_G/SoT,shooting_Dist,shooting_PK,shooting_PKatt,passing_Age,passing_Born,passing_90s,passing_TotDist,passing_PrgDist,passing_Ast,passing_A-xAG,passing_KP,passing_1/3,passing_PPA,passing_CrsPA,passing_types_Age,passing_types_Born,passing_types_90s,passing_types_Att,passing_types_Live,passing_types_Dead,passing_types_FK,passing_types_TB,passing_types_Sw,passing_types_Crs,passing_types_TI,passing_types_CK,passing_types_In,passing_types_Out,passing_types_Str,passing_types_Cmp,passing_types_Off,passing_types_Blocks,gca_Age,gca_Born,gca_90s,gca_SCA,gca_SCA90,gca_GCA,gca_GCA90,defense_Age,defense_Born,defense_90s,defense_TklW,defense_Def 3rd,defense_Mid 3rd,defense_Att 3rd,defense_Att,defense_Tkl%,defense_Lost,defense_Blocks,defense_Sh,defense_Pass,defense_Int,defense_Tkl+Int,defense_Clr,defense_Err,possession_Age,possession_Born,possession_90s,possession_Touches,possession_Def Pen,possession_Def 3rd,possession_Mid 3rd,possession_Att 3rd,possession_Att Pen,possession_Live,possession_Att,possession_Succ,possession_Succ%,possession_Tkld,possession_Tkld%,possession_Carries,possession_TotDist,possession_PrgDist,possession_1/3,possession_CPA,possession_Mis,possession_Dis,possession_Rec,playingtime_Age,playingtime_Born,playingtime_MP,playingtime_Mn/MP,playingtime_Min%,playingtime_90s,playingtime_Starts,playingtime_Mn/Start,playingtime_Compl,playingtime_Subs,playingtime_Mn/Sub,playingtime_unSub,playingtime_PPM,playingtime_onG,playingtime_onGA,playingtime_+/-,playingtime_+/-90,misc_Age,misc_Born,misc_90s,misc_CrdY,misc_CrdR,misc_2CrdY,misc_Fls,misc_Fld,misc_Off,misc_Crs,misc_Int,misc_TklW,misc_PKwon,misc_PKcon,misc_OG
Ramón Ábila,ar ARG,FW,Colón,Primera Division Argentina,33,1989,25,17,17.5,6,0.34,3,0.17,9,0.52,6,0.34,0,1,4,0,0.52,33,1989,17.5,1.9220716104309437,1.3295952898687204,15.0,51.7,1.66,0.86,0.21,0.4,15.1,0,1,33,1989,17.5,3248.0,566.0,3,0.5,18.0,10.0,11.0,0.0,33,1989,17.5,0.8142959700529169,0.8221450615048078,0.5222763473996959,1.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,213.0,1.0,18.0,33,1989,17.5,48.0,2.75,8.0,0.46,33,1989,17.5,4.0,-0.3600600598727222,-0.007332011635083573,1.046195368361922,7.0,28.6,5.0,8.0,3.0,5.0,5.0,9.0,7.0,0.0,33,1989,17.5,459.0,-0.024805875233269447,16.0,0.7460715682987372,2.677442354333261,84.0,458.0,33.0,12.0,36.4,16.0,48.5,289.0,1077.0,439.0,13.0,11.0,39.0,18.0,354.0,33,1989,25,63,64.7,17.5,17,82,9,8,23,0,0.92,16,22,-6,-0.34,33,1989,17.5,4,0,0,6.0,22.0,26.0,3.0,5.0,4.0,1.0,0.0,0
Gonzalo Abrego,ar ARG,MF,Godoy Cruz,Primera Division Argentina,23,2000,26,26,23.7,3,0.13,1,0.04,4,0.17,3,0.13,0,0,2,0,0.17,23,2000,23.7,0.7119949626668931,1.3949141899094983,7.0,23.3,1.27,0.3,0.1,0.43,23.3,0,0,23,2000,23.7,12199.0,3688.0,1,0.2,17.0,87.0,14.0,3.0,23,2000,23.7,2.886177230507907,3.2804785393784908,-0.14583244233423592,3.0,1.0,18.0,20.0,4.0,0.0,0.0,0.0,0.0,660.0,3.0,21.0,23,2000,23.7,43.0,1.82,4.0,0.17,23,2000,23.7,30.0,2.2222501548671825,4.647834835054264,3.801836333942168,58.0,41.4,34.0,37.0,6.0,31.0,21.0,70.0,21.0,0.0,23,2000,23.7,1146.0,0.22712931875938658,187.0,3.850235475446823,2.983010044827584,30.0,1146.0,69.0,37.0,53.6,32.0,46.4,622.0,3086.0,1238.0,22.0,4.0,54.0,24.0,698.0,23,2000,26,82,87.8,23.7,26,82,15,0,0,0,1.58,32,26,6,0.25,23,2000,23.7,2,0,0,19.0,10.0,3.0,20.0,21.0,30.0,0.0,0.0,0
Jonás Acevedo,ar ARG,"MF,FW",Huracán,Primera Division Argentina,25,1997,16,10,9.4,0,0.0,1,0.11,1,0.11,0,0.0,0,0,3,0,0.11,25,1997,9.4,-0.49808168509715733,0.34981178925705053,7.0,50.0,1.48,0.74,0.0,0.0,20.0,0,0,25,1997,9.4,5072.0,1689.0,1,-0.3,19.0,33.0,8.0,4.0,25,1997,9.4,1.3166882305767773,1.174594305644404,1.6198836448197267,28.0,0.0,1.0,80.0,4.0,48.0,25.0,21.0,0.0,317.0,4.0,16.0,25,1997,9.4,41.0,4.36,3.0,0.32,25,1997,9.4,8.0,0.285517493812254,1.10990803157036,1.7351056097569835,21.0,28.6,15.0,12.0,0.0,12.0,5.0,20.0,1.0,0.0,25,1997,9.4,571.0,-0.19801132110322045,38.0,1.275750330232736,2.8184735960998717,20.0,571.0,42.0,15.0,35.7,23.0,54.8,312.0,1987.0,751.0,20.0,2.0,26.0,17.0,342.0,25,1997,16,53,34.9,9.4,10,75,0,6,17,7,1.25,11,10,1,0.11,25,1997,9.4,3,0,0,15.0,15.0,1.0,80.0,5.0,8.0,0.0,0.0,0
Lucas Acevedo,ar ARG,DF,Colón,Primera Division Argentina,31,1991,6,2,2.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,31,1991,2.1,-0.49808168509715733,-0.4340150112322854,0.0,0.0,0.95,0.0,0.0,0.0,20.5,0,0,31,1991,2.1,1074.0,517.0,0,0.0,0.0,2.0,0.0,0.0,31,1991,2.1,-0.1554379281675579,-0.12506228212035694,-0.2651375833581523,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,31,1991,2.1,1.0,0.48,0.0,0.0,31,1991,2.1,3.0,0.285517493812254,-0.3797453593702314,-0.3316251144282009,4.0,50.0,2.0,3.0,3.0,0.0,0.0,4.0,23.0,1.0,31,1991,2.1,104.0,0.24287526838392756,72.0,-0.2270591803707022,-0.3077189297266621,3.0,104.0,0.0,0.0,0.0,0.0,0.0,36.0,150.0,51.0,0.0,0.0,1.0,0.0,39.0,31,1991,6,32,7.8,2.1,2,68,1,4,14,12,1.33,3,5,-2,-0.95,31,1991,2.1,0,0,0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0
Guillermo Acosta,ar ARG,MF,Atlé Tucumán,Primera Division Argentina,34,1988,25,23,20.8,0,0.0,2,0.1,2,0.1,0,0.0,0,0,6,1,0.1,34,1988,20.8,-0.49808168509715733,0.6110873894201625,1.0,5.6,0.86,0.05,0.0,0.0,23.1,0,0,34,1988,20.8,13658.0,4776.0,2,0.7,18.0,81.0,15.0,3.0,34,1988,20.8,3.174371240420819,3.5271930102762084,0.2598050371470798,22.0,2.0,7.0,11.0,2.0,0.0,0.0,0.0,0.0,754.0,4.0,20.0,34,1988,20.8,34.0,1.64,2.0,0.1,34,1988,20.8,29.0,3.029222096973403,2.2271480747758035,2.4240158511520447,45.0,51.1,22.0,19.0,7.0,12.0,26.0,65.0,31.0,2.0,34,1988,20.8,1132.0,0.6207780593729115,292.0,3.881030752303451,1.4316663853948681,17.0,1132.0,19.0,10.0,52.6,6.0,31.6,504.0,2294.0,1081.0,8.0,1.0,21.0,8.0,595.0,34,1988,25,75,77.1,20.8,23,79,8,2,27,1,1.32,20,20,0,0.0,34,1988,20.8,6,1,0,25.0,23.0,0.0,11.0,26.0,29.0,0.0,1.0,0
Lautaro Acosta,ar ARG,MF,Lanús,Primera Division Argentina,34,1988,19,12,10.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,2,0,0.0,34,1988,10.4,-0.49808168509715733,0.15385508913471654,2.0,18.2,1.06,0.19,0.0,0.0,14.0,0,0,34,1988,10.4,3136.0,1053.0,0,-1.4,12.0,21.0,3.0,1.0,34,1988,10.4,0.7247221561610658,0.8265506770565528,-0.0503883295151028,3.0,0.0,0.0,10.0,4.0,1.0,1.0,0.0,0.0,222.0,1.0,8.0,34,1988,10.4,31.0,2.99,1.0,0.1,34,1988,10.4,13.0,0.6083062706547421,1.2961147054379338,1.046195368361922,27.0,25.9,20.0,12.0,3.0,9.0,8.0,25.0,10.0,0.0,34,1988,10.4,423.0,-0.024805875233269447,79.0,1.0232290600083878,1.0908408844588926,26.0,423.0,24.0,9.0,37.5,5.0,20.8,237.0,1236.0,657.0,12.0,2.0,21.0,15.0,249.0,34,1988,19,49,38.4,10.4,12,68,2,7,17,1,1.63,18,14,4,0.39,34,1988,10.4,2,0,0,24.0,46.0,1.0,10.0,8.0,13.0,2.0,0.0,0
Lucas Acosta,ar ARG,GK,Lanús,Primera Division Argentina,27,1995,18,18,18.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,2,0,0.0,27,1995,18.0,-0.49808168509715733,-0.5646528113138414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,27,1995,18.0,10759.0,7506.0,0,0.0,0.0,12.0,0.0,0.0,27,1995,18.0,1.776240840978448,1.2054336145066187,4.316179831960237,44.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,380.0,2.0,0.0,27,1995,18.0,4.0,0.22,0.0,0.0,27,1995,18.0,0.0,-0.3600600598727222,-0.3797453593702314,-0.3316251144282009,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0,27,1995,18.0,591.0,6.856174110691148,589.0,-0.39335367539649246,-0.37823455060996736,0.0,591.0,0.0,0.0,0.0,0.0,0.0,327.0,2148.0,1547.0,0.0,0.0,0.0,0.0,230.0,27,1995,18,90,66.7,18.0,18,90,18,0,0,9,1.56,24,17,7,0.39,27,1995,18.0,2,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
Tomás Adoryán,ar ARG,MF,Banfield,Primera Division Argentina,21,2001,2,0,0.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,21,2001,0.4,-0.49808168509715733,-0.4340150112322854,1.0,50.0,4.62,2.31,0.0,0.0,20.4,0,0,21,2001,0.4,272.0,90.0,0,0.0,1.0,0.0,0.0,0.0,21,2001,0.4,-0.3501636105411472,-0.3497486752593495,-0.24127655515336902,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,21,2001,0.4,2.0,4.62,0.0,0.0,21,2001,0.4,0.0,-0.3600600598727222,-0.1935386855026575,-0.3316251144282009,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,21,2001,0.4,27.0,-0.21375727072776146,3.0,-0.30712690019793454,-0.28421372276556034,3.0,27.0,0.0,0.0,0.0,0.0,0.0,12.0,54.0,21.0,0.0,1.0,2.0,0.0,18.0,21,2001,2,20,1.6,0.4,0,0,0,2,20,4,0.0,0,0,0,0.0,21,2001,0.4,0,0,0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0
Luis Advíncula,pe PER,"DF,FW",Boca Juniors,Primera Division Argentina,32,1990,18,16,16.0,0,0.0,3,0.19,3,0.19,0,0.0,0,0,3,0,0.19,32,1990,16.0,-0.49808168509715733,0.023217289053160544,5.0,55.6,0.56,0.31,0.0,0.0,23.7,0,0,32,1990,16.0,11176.0,3671.0,3,0.3,22.0,53.0,17.0,8.0,32,1990,16.0,2.76155279378881,2.615230591065003,2.7413519704445406,8.0,1.0,6.0,38.0,118.0,2.0,0.0,2.0,0.0,669.0,1.0,20.0,32,1990,16.0,39.0,2.44,8.0,0.5,32,1990,16.0,20.0,2.3836445432884266,2.785768096378525,0.35728512696686054,27.0,77.8,6.0,20.0,4.0,16.0,6.0,41.0,16.0,0.0,32,1990,16.0,980.0,0.29011311725755057,225.0,2.7292873978655696,2.618679336930507,21.0,980.0,34.0,15.0,44.1,15.0,44.1,559.0,2885.0,1450.0,24.0,4.0,24.0,17.0,632.0,32,1990,18,80,59.2,16.0,16,88,13,2,18,1,1.5,19,15,4,0.25,32,1990,16.0,3,0,0,20.0,18.0,2.0,38.0,6.0,20.0,0.0,0.0,0
Facundo Aguero,ar ARG,DF,Rosario Central,Primera Division Argentina,28,1995,5,1,1.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,28,1995,1.4,-0.49808168509715733,-0.5646528113138414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,28,1995,1.4,801.0,325.0,0,0.0,1.0,4.0,1.0,1.0,28,1995,1.4,-0.19438306464227573,-0.16911843763780648,-0.2651375833581523,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,1.0,28,1995,1.4,1.0,0.72,0.0,0.0,28,1995,1.4,1.0,-0.03727128303023411,-0.007332011635083573,-0.3316251144282009,4.0,25.0,3.0,1.0,0.0,1.0,3.0,7.0,11.0,0.0,28,1995,1.4,84.0,-0.07204372410689246,35.0,-0.12851429442949314,-0.33122413668776385,2.0,84.0,0.0,0.0,0.0,0.0,0.0,36.0,205.0,94.0,0.0,0.0,3.0,1.0,43.0,28,1995,5,25,5.2,1.4,1,61,0,4,16,18,1.2,1,2,-1,-0.71,28,1995,1.4,0,0,0,4.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0
